Season,Team,Player,Position,Appearances,Minutes_Played,Goals,Assists
2015/16,Brentford,Mason Clark,Defender,29,2030,16,14
2015/16,Brentford,John Scott,Defender,31,1953,19,0
2015/16,Brentford,Chris Martin,Forward,20,1640,5,0
2015/16,Brentford,Tom Johnson,Midfielder,37,2812,7,9
2015/16,Brentford,Mason Hall,Defender,10,710,21,3
2015/16,Brentford,Ben Young,Midfielder,17,1037,1,0
2015/16,Brentford,Luke Walker,Forward,5,375,20,1
2015/16,Brentford,Aaron King,Defender,19,1672,17,0
2015/16,Brentford,Ethan Martin,Midfielder,10,620,14,1
2015/16,Brentford,Harry Clark,Forward,35,2905,14,10
2015/16,Brentford,Daniel Johnson,Forward,30,1980,16,0
2015/16,Brentford,Harry Thompson,Defender,19,1292,14,5
2015/16,Brentford,Ryan Thomas,Forward,13,819,21,15
2015/16,Brentford,Oscar Thompson,Forward,26,1638,14,12
2015/16,Brentford,Jack Young,Defender,31,2449,1,7
2015/16,Brentford,John King,Forward,36,3384,20,13
2015/16,Brighton,Jack Johnson,Midfielder,12,1068,11,1
2015/16,Brighton,David Smith,Midfielder,30,2280,22,7
2015/16,Brighton,Luke Martin,Midfielder,15,1230,19,0
2015/16,Brighton,Michael Thompson,Forward,13,1092,4,9
2015/16,Brighton,Noah Thomas,Defender,35,2660,0,1
2015/16,Brighton,Harry Taylor,Defender,29,2001,17,12
2015/16,Brighton,Jack Garcia,Midfielder,15,975,2,10
2015/16,Brighton,John Garcia,Defender,10,950,24,15
2015/16,Brighton,David Jackson,Midfielder,8,480,6,13
2015/16,Brighton,Alex Anderson,Defender,37,2368,7,10
2015/16,Brighton,Oscar Taylor,Midfielder,15,1005,6,2
2015/16,Brighton,Oscar Harris,Forward,28,2492,21,2
2015/16,Brighton,Liam Walker,Midfielder,20,1260,5,11
2015/16,Brighton,Ryan Jackson,Defender,33,2145,24,10
2015/16,Brighton,Jack Walker,Midfielder,35,2870,2,12
2015/16,Brighton,Chris Thomas,Forward,32,2048,1,0
2015/16,Brighton,Noah Scott,Midfielder,12,900,15,9
2015/16,Brighton,Ben Young,Defender,14,1078,25,9
2015/16,Burnley,Ryan Thomas,Defender,12,972,5,0
2015/16,Burnley,Ethan Allen,Forward,13,1105,20,4
2015/16,Burnley,Daniel White,Forward,28,1988,13,1
2015/16,Burnley,Ethan Thomas,Forward,26,1794,8,9
2015/16,Burnley,Leo Martin,Defender,9,594,6,3
2015/16,Burnley,David Jackson,Midfielder,11,990,5,11
2015/16,Burnley,Mason White,Midfielder,16,1120,9,5
2015/16,Burnley,Michael Smith,Midfielder,12,1020,16,11
2015/16,Burnley,Daniel Johnson,Defender,15,1395,5,5
2015/16,Burnley,Alex Johnson,Midfielder,24,1680,25,1
2015/16,Burnley,Alex Thompson,Defender,15,915,16,2
2015/16,Burnley,John Hall,Midfielder,10,600,6,9
2015/16,Burnley,Ryan Harris,Forward,8,512,2,7
2015/16,Burnley,Ryan Jackson,Defender,6,516,6,2
2015/16,Burnley,Ryan White,Midfielder,25,1750,24,5
2015/16,Burnley,Aaron Smith,Defender,27,1998,17,2
2015/16,Burnley,Harry Martin,Midfielder,14,1190,16,8
2015/16,Burnley,Mason Hall,Defender,6,486,15,8
2015/16,Chelsea,Oscar Thomas,Forward,18,1548,2,1
2015/16,Chelsea,Luke Garcia,Forward,30,1890,11,10
2015/16,Chelsea,Daniel Scott,Defender,35,3115,12,1
2015/16,Chelsea,Leo Brown,Defender,10,760,14,4
2015/16,Chelsea,Ben Clark,Defender,12,1044,19,10
2015/16,Chelsea,Mason Young,Defender,9,765,24,6
2015/16,Chelsea,Leo Thomas,Forward,13,1196,12,3
2015/16,Chelsea,Chris Young,Midfielder,30,2610,9,2
2015/16,Chelsea,Luke Hall,Defender,16,1424,0,13
2015/16,Chelsea,Jack Garcia,Midfielder,36,3096,15,4
2015/16,Chelsea,Jack White,Forward,11,1023,6,8
2015/16,Chelsea,Noah Lewis,Defender,20,1300,4,10
2015/16,Chelsea,Tom White,Defender,20,1380,7,2
2015/16,Chelsea,Leo Johnson,Defender,18,1170,7,3
2015/16,Chelsea,Daniel Johnson,Forward,20,1600,6,6
2015/16,Chelsea,Aaron Lewis,Midfielder,13,845,19,8
2015/16,Chelsea,James Thomas,Defender,21,1701,22,10
2015/16,Chelsea,Daniel Johnson,Midfielder,11,693,21,10
2015/16,Crystal Palace,Noah Garcia,Forward,29,2320,17,6
2015/16,Crystal Palace,Ethan Clark,Defender,23,1817,13,7
2015/16,Crystal Palace,Liam Thompson,Forward,15,1245,4,5
2015/16,Crystal Palace,Ben Thompson,Forward,14,952,23,6
2015/16,Crystal Palace,Ben Lewis,Defender,28,1792,8,9
2015/16,Crystal Palace,David Lewis,Forward,27,2349,22,7
2015/16,Crystal Palace,James Johnson,Midfielder,12,960,3,9
2015/16,Crystal Palace,Daniel Clark,Defender,30,2070,14,0
2015/16,Crystal Palace,Aaron Martin,Midfielder,28,1960,14,12
2015/16,Crystal Palace,Harry Lewis,Midfielder,10,600,19,15
2015/16,Crystal Palace,Alex Lewis,Defender,35,2800,17,8
2015/16,Crystal Palace,Liam Smith,Forward,14,1176,8,8
2015/16,Crystal Palace,David Taylor,Forward,31,2139,11,10
2015/16,Crystal Palace,Michael Young,Defender,28,2156,14,8
2015/16,Crystal Palace,Noah Thompson,Defender,35,2940,2,0
2015/16,Crystal Palace,Tom Allen,Defender,31,2821,15,3
2015/16,Crystal Palace,Oscar Thompson,Forward,21,1869,9,4
2015/16,Crystal Palace,Liam Taylor,Midfielder,26,2418,12,2
2015/16,Everton,Jack Harris,Midfielder,27,2241,22,14
2015/16,Everton,Harry Anderson,Midfielder,14,1064,10,8
2015/16,Everton,David Thomas,Forward,38,2964,13,8
2015/16,Everton,Chris Lewis,Forward,30,2550,7,12
2015/16,Everton,Leo Thompson,Forward,18,1170,15,10
2015/16,Everton,Alex Hall,Forward,25,1550,5,5
2015/16,Everton,Ethan Anderson,Forward,15,1230,23,14
2015/16,Everton,Aaron Harris,Midfielder,5,335,13,9
2015/16,Everton,Ryan Scott,Forward,22,1540,21,1
2015/16,Everton,Mason Walker,Defender,17,1360,2,9
2015/16,Everton,James Lewis,Forward,20,1620,22,1
2015/16,Everton,Ben Young,Defender,26,1560,4,7
2015/16,Everton,Jack Young,Defender,31,2511,17,5
2015/16,Everton,Luke Brown,Forward,12,900,14,6
2015/16,Everton,Tom Martin,Forward,30,2730,2,1
2015/16,Everton,Aaron Clark,Forward,21,1869,4,11
2015/16,Everton,Michael Lewis,Defender,24,2232,20,15
2015/16,Everton,Alex Clark,Midfielder,21,1680,1,7
2015/16,Fulham,Luke Scott,Midfielder,5,365,14,2
2015/16,Fulham,Oscar Jackson,Defender,35,2730,3,5
2015/16,Fulham,Luke King,Forward,31,2418,11,14
2015/16,Fulham,James Taylor,Defender,17,1275,10,7
2015/16,Fulham,Leo Scott,Midfielder,26,2106,17,9
2015/16,Fulham,Ethan Allen,Defender,37,2997,13,10
2015/16,Fulham,Oscar King,Midfielder,34,2856,6,7
2015/16,Fulham,Jack King,Defender,22,1584,16,6
2015/16,Fulham,Mason Walker,Defender,15,1155,4,1
2015/16,Fulham,Tom Hall,Midfielder,14,1246,15,14
2015/16,Fulham,David Scott,Forward,25,2375,19,8
2015/16,Fulham,Ben Garcia,Defender,28,1736,15,9
2015/16,Fulham,Aaron Hall,Defender,24,1704,0,5
2015/16,Fulham,Noah Thomas,Forward,20,1400,18,4
2015/16,Fulham,Harry Johnson,Forward,18,1350,19,14
2015/16,Fulham,Liam Brown,Defender,7,441,18,14
2015/16,Fulham,Leo Taylor,Forward,37,2516,23,7
2015/16,Fulham,Harry Walker,Defender,36,2772,3,12
2015/16,Leicester,Luke Young,Defender,33,3003,15,9
2015/16,Leicester,Aaron Allen,Forward,37,3404,19,5
2015/16,Leicester,Leo Allen,Defender,7,609,3,6
2015/16,Leicester,Tom Taylor,Forward,37,3034,21,5
2015/16,Leicester,David Scott,Forward,12,864,23,10
2015/16,Leicester,Leo King,Midfielder,15,915,25,6
2015/16,Leicester,James Jackson,Midfielder,38,2812,11,3
2015/16,Leicester,Ryan Taylor,Forward,28,2100,4,12
2015/16,Leicester,Tom Taylor,Midfielder,13,1040,4,0
2015/16,Leicester,Leo Scott,Midfielder,33,2244,6,5
2015/16,Leicester,Daniel Clark,Defender,12,912,15,9
2015/16,Leicester,Luke Thomas,Forward,13,936,1,8
2015/16,Leicester,Chris Taylor,Midfielder,24,1920,22,2
2015/16,Leicester,Luke Jackson,Midfielder,25,1950,3,7
2015/16,Leicester,Liam Jackson,Forward,21,1344,22,0
2015/16,Leicester,Noah Young,Defender,5,400,14,8
2015/16,Leicester,Luke Martin,Defender,29,1943,22,15
2015/16,Leicester,Jack Jackson,Midfielder,23,1656,17,2
2015/16,Liverpool,Liam Smith,Forward,25,2050,5,2
2015/16,Liverpool,Jack Brown,Midfielder,13,988,14,1
2015/16,Liverpool,Liam Scott,Midfielder,29,1972,5,9
2015/16,Liverpool,Ryan Smith,Forward,9,828,9,1
2015/16,Liverpool,Ethan White,Defender,25,2375,16,8
2015/16,Liverpool,Daniel Anderson,Forward,11,726,16,8
2015/16,Liverpool,Chris Harris,Defender,7,497,24,2
2015/16,Liverpool,Oscar Jackson,Midfielder,26,2392,5,0
2015/16,Liverpool,Chris Brown,Midfielder,21,1701,9,12
2015/16,Liverpool,Harry Walker,Forward,20,1260,13,11
2015/16,Liverpool,Daniel Hall,Midfielder,20,1600,7,10
2015/16,Liverpool,Daniel Thomas,Midfielder,10,790,16,0
2015/16,Liverpool,Oscar Walker,Midfielder,24,2232,4,9
2015/16,Liverpool,Aaron Allen,Midfielder,25,2150,14,3
2015/16,Liverpool,Michael Harris,Forward,30,2400,1,8
2015/16,Liverpool,David King,Defender,27,2187,10,5
2015/16,Liverpool,Noah Thompson,Midfielder,9,702,3,15
2015/16,Liverpool,Ben Smith,Defender,10,680,13,6
2015/16,Man City,Aaron Garcia,Defender,24,2232,8,9
2015/16,Man City,Ben Taylor,Defender,14,882,8,10
2015/16,Man City,Daniel Allen,Defender,30,2460,17,3
2015/16,Man City,Ryan Garcia,Midfielder,21,1743,17,1
2015/16,Man City,Liam Allen,Defender,18,1368,25,0
2015/16,Man City,Leo Martin,Forward,5,415,7,3
2015/16,Man City,Ben Smith,Forward,18,1710,10,15
2015/16,Man City,Mason Garcia,Forward,22,1562,15,13
2015/16,Man City,Harry Hall,Defender,38,3458,18,14
2015/16,Man City,James King,Defender,25,2275,10,9
2015/16,Man City,Tom Allen,Defender,27,2052,22,5
2015/16,Man City,Mason Hall,Defender,21,1449,25,3
2015/16,Man City,Tom Martin,Forward,36,2232,16,1
2015/16,Man City,Oscar Walker,Forward,24,1656,23,0
2015/16,Man City,Leo Harris,Midfielder,37,3441,22,7
2015/16,Man City,Ben Anderson,Forward,32,2432,15,11
2015/16,Man City,John Johnson,Midfielder,35,2485,18,4
2015/16,Man City,James Johnson,Forward,33,2112,6,12
2015/16,Man United,Noah Martin,Midfielder,9,558,22,2
2015/16,Man United,Liam Hall,Defender,11,957,4,2
2015/16,Man United,Ethan Taylor,Midfielder,35,3150,3,10
2015/16,Man United,David Harris,Midfielder,38,2926,5,0
2015/16,Man United,David Scott,Midfielder,37,2812,2,2
2015/16,Man United,Ben Johnson,Forward,19,1710,6,5
2015/16,Man United,Ben Smith,Defender,30,2070,20,2
2015/16,Man United,Liam Thompson,Defender,7,469,21,7
2015/16,Man United,Leo Brown,Forward,25,1700,17,13
2015/16,Man United,Leo Garcia,Defender,24,1488,9,2
2015/16,Man United,Ethan White,Midfielder,22,1826,22,15
2015/16,Man United,Tom Allen,Midfielder,6,408,5,14
2015/16,Man United,Daniel Martin,Midfielder,14,896,8,7
2015/16,Man United,Luke Allen,Defender,23,1794,17,15
2015/16,Man United,Ben Walker,Forward,34,2958,16,7
2015/16,Man United,Ryan Thompson,Defender,5,305,11,6
2015/16,Man United,Mason Harris,Forward,7,546,16,15
2015/16,Man United,Tom Allen,Midfielder,34,2924,10,12
2015/16,Newcastle,Harry Young,Midfielder,31,2821,16,3
2015/16,Newcastle,Oscar Taylor,Forward,38,2394,23,7
2015/16,Newcastle,Ethan Thompson,Forward,21,1365,12,0
2015/16,Newcastle,Daniel Thompson,Midfielder,8,560,2,14
2015/16,Newcastle,Chris Smith,Midfielder,12,1008,11,13
2015/16,Newcastle,Michael Thompson,Midfielder,23,2185,16,3
2015/16,Newcastle,Noah Smith,Forward,9,819,13,0
2015/16,Newcastle,Ethan Anderson,Forward,19,1254,14,8
2015/16,Newcastle,Mason Thompson,Forward,33,2541,0,7
2015/16,Newcastle,Michael Clark,Midfielder,15,1080,21,10
2015/16,Newcastle,Ethan Smith,Defender,19,1653,24,15
2015/16,Newcastle,Ethan Jackson,Forward,26,1612,25,10
2015/16,Newcastle,Oscar Thomas,Midfielder,27,2133,14,14
2015/16,Newcastle,Daniel Brown,Midfielder,21,1428,12,6
2015/16,Newcastle,Ethan Young,Forward,9,693,18,9
2015/16,Newcastle,Mason Allen,Forward,20,1360,2,9
2015/16,Newcastle,Ethan Allen,Forward,30,2250,15,6
2015/16,Newcastle,Liam Clark,Midfielder,37,2257,22,11
2015/16,Norwich,Ethan Johnson,Forward,36,2988,20,11
2015/16,Norwich,Alex Garcia,Defender,31,2542,4,12
2015/16,Norwich,Chris Scott,Forward,33,2277,6,1
2015/16,Norwich,Michael Thomas,Forward,36,2304,8,9
2015/16,Norwich,Ben Hall,Forward,35,2590,20,6
2015/16,Norwich,Luke Young,Midfielder,33,2970,10,5
2015/16,Norwich,Tom Johnson,Forward,7,630,16,4
2015/16,Norwich,Aaron Brown,Defender,33,3003,4,12
2015/16,Norwich,Harry Smith,Forward,10,760,8,0
2015/16,Norwich,John Harris,Midfielder,29,2262,6,15
2015/16,Norwich,Ryan Martin,Forward,35,2625,5,1
2015/16,Norwich,Noah Thomas,Midfielder,22,1364,10,3
2015/16,Norwich,Oscar Brown,Midfielder,14,1232,24,9
2015/16,Norwich,Leo Thomas,Midfielder,20,1540,0,2
2015/16,Norwich,Ethan Brown,Defender,8,728,12,2
2015/16,Norwich,Aaron Clark,Forward,28,2156,21,12
2015/16,Norwich,James Jackson,Forward,10,930,22,14
2015/16,Norwich,Luke Thomas,Defender,36,2952,5,12
2015/16,Southampton,Luke Brown,Forward,12,756,3,11
2015/16,Southampton,Oscar Harris,Forward,36,2880,3,13
2015/16,Southampton,Liam Walker,Defender,20,1760,22,14
2015/16,Southampton,David Brown,Defender,11,946,25,6
2015/16,Southampton,Harry Harris,Midfielder,30,2820,11,1
2015/16,Southampton,David King,Forward,38,3230,4,13
2015/16,Southampton,Ben Walker,Defender,28,1820,17,14
2015/16,Southampton,Ben Lewis,Forward,23,1817,3,6
2015/16,Southampton,David Jackson,Defender,26,1664,4,7
2015/16,Southampton,Michael Hall,Midfielder,14,1022,18,12
2015/16,Southampton,Alex Clark,Midfielder,31,2728,6,13
2015/16,Southampton,Tom Smith,Forward,15,1350,12,7
2015/16,Southampton,Leo Smith,Forward,11,660,18,4
2015/16,Southampton,Chris Thomas,Midfielder,36,2196,0,4
2015/16,Southampton,Jack Taylor,Defender,24,1488,12,9
2015/16,Southampton,Ben Walker,Forward,7,441,17,3
2015/16,Southampton,Jack Allen,Defender,6,426,3,13
2015/16,Southampton,Leo Allen,Midfielder,37,2220,24,10
2015/16,Tottenham,Ethan Thompson,Defender,26,1586,4,2
2015/16,Tottenham,Noah Walker,Defender,22,1584,18,8
2015/16,Tottenham,Liam Walker,Defender,18,1440,4,11
2015/16,Tottenham,Oscar Taylor,Defender,27,2349,15,3
2015/16,Tottenham,Alex Smith,Defender,24,1752,6,5
2015/16,Tottenham,Aaron Thomas,Midfielder,5,370,4,1
2015/16,Tottenham,Alex White,Forward,24,1560,10,9
2015/16,Tottenham,Alex Lewis,Forward,11,957,1,9
2015/16,Tottenham,Ethan Smith,Forward,7,616,2,5
2015/16,Tottenham,Harry Young,Defender,10,950,12,10
2015/16,Tottenham,David Clark,Forward,10,840,20,13
2015/16,Tottenham,Alex Hall,Defender,27,1782,24,0
2015/16,Tottenham,John White,Forward,31,2077,4,3
2015/16,Tottenham,Chris Jackson,Defender,10,670,19,11
2015/16,Tottenham,Chris Harris,Defender,6,432,5,1
2015/16,Tottenham,Noah Clark,Midfielder,30,1980,8,11
2015/16,Tottenham,Tom Allen,Defender,29,1769,17,4
2015/16,Tottenham,Aaron Johnson,Midfielder,8,504,21,4
2015/16,West Ham,Jack Thomas,Forward,14,966,1,6
2015/16,West Ham,David Walker,Forward,17,1581,16,6
2015/16,West Ham,Oscar Clark,Defender,18,1404,14,5
2015/16,West Ham,Alex Johnson,Defender,35,2695,22,3
2015/16,West Ham,Liam Smith,Forward,24,1656,3,7
2015/16,West Ham,Tom Thompson,Midfielder,20,1260,10,9
2015/16,West Ham,Ben Thomas,Midfielder,36,3132,5,2
2015/16,West Ham,James Martin,Defender,37,2849,13,5
2015/16,West Ham,Chris Allen,Defender,25,1800,19,10
2015/16,West Ham,Jack Harris,Defender,30,2220,23,15
2015/16,West Ham,Leo White,Forward,9,702,18,13
2015/16,West Ham,Ben Jackson,Defender,23,2047,25,9
2015/16,West Ham,David White,Midfielder,9,567,6,13
2015/16,West Ham,Daniel Young,Forward,9,801,10,7
2015/16,West Ham,Liam Taylor,Defender,7,623,0,15
2015/16,West Ham,Harry Johnson,Defender,24,2280,9,2
2015/16,West Ham,Michael Lewis,Midfielder,30,1800,25,6
2015/16,West Ham,Leo Smith,Forward,8,712,4,7
2015/16,Wolves,Jack Thompson,Midfielder,18,1440,8,1
2015/16,Wolves,Chris Walker,Defender,19,1691,9,11
2015/16,Wolves,John Garcia,Forward,37,2479,19,9
2015/16,Wolves,Aaron Jackson,Defender,22,1584,10,15
2015/16,Wolves,Ben Allen,Midfielder,37,2812,7,11
2015/16,Wolves,Ryan King,Forward,34,2482,25,12
2015/16,Wolves,James Harris,Defender,29,2610,1,7
2015/16,Wolves,Ethan Taylor,Forward,30,2790,10,3
2015/16,Wolves,Ryan Anderson,Midfielder,34,2176,22,8
2015/16,Wolves,Michael Harris,Forward,16,1424,24,9
2015/16,Wolves,James Allen,Midfielder,30,2730,21,0
2015/16,Wolves,Harry Jackson,Defender,21,1785,6,10
2015/16,Wolves,Tom King,Defender,24,1704,10,14
2015/16,Wolves,Daniel White,Defender,12,1068,2,5
2015/16,Wolves,Ethan Thomas,Midfielder,11,858,9,15
2015/16,Wolves,Noah Brown,Midfielder,22,1826,11,11
2015/16,Wolves,Jack Garcia,Forward,37,2738,22,1
2015/16,Wolves,Oscar Allen,Midfielder,16,1456,5,10
2016/17,Arsenal,Chris Johnson,Midfielder,37,3219,24,12
2016/17,Arsenal,Harry Garcia,Midfielder,6,516,2,7
2016/17,Arsenal,Jack Lewis,Defender,20,1500,11,8
2016/17,Arsenal,John Anderson,Forward,28,1736,19,8
2016/17,Arsenal,Liam Clark,Midfielder,32,2464,9,2
2016/17,Arsenal,Michael Harris,Midfielder,21,1680,3,10
2016/17,Arsenal,Ethan Martin,Forward,6,546,15,11
2016/17,Arsenal,Daniel Smith,Defender,36,2304,5,0
2016/17,Arsenal,Aaron Jackson,Forward,32,2752,21,8
2016/17,Arsenal,Mason Hall,Midfielder,31,2232,9,6
2016/17,Arsenal,Ryan Anderson,Midfielder,36,2232,12,5
2016/17,Arsenal,Aaron Walker,Defender,25,2300,18,8
2016/17,Arsenal,Alex Taylor,Midfielder,13,1066,13,14
2016/17,Arsenal,Noah Hall,Forward,14,1232,15,15
2016/17,Arsenal,Michael Scott,Defender,28,2492,9,12
2016/17,Arsenal,Noah Jackson,Forward,22,2024,15,13
2016/17,Arsenal,Michael Young,Defender,16,1200,2,3
2016/17,Arsenal,Jack Harris,Forward,23,1610,15,11
2016/17,Aston Villa,Tom White,Midfielder,8,544,8,13
2016/17,Aston Villa,Tom Harris,Midfielder,24,1704,2,5
2016/17,Aston Villa,Chris Young,Defender,35,2135,5,9
2016/17,Aston Villa,Mason Harris,Forward,16,1008,12,14
2016/17,Aston Villa,Aaron Brown,Defender,8,720,5,10
2016/17,Aston Villa,Luke Taylor,Forward,8,592,5,13
2016/17,Aston Villa,Michael Walker,Defender,11,814,0,15
2016/17,Aston Villa,Leo Johnson,Forward,21,1869,10,8
2016/17,Aston Villa,David Smith,Forward,33,2673,14,3
2016/17,Aston Villa,Liam White,Forward,26,2002,13,14
2016/17,Aston Villa,Liam King,Forward,16,1088,15,8
2016/17,Aston Villa,Tom Garcia,Forward,16,1008,2,6
2016/17,Aston Villa,Aaron Brown,Defender,35,2205,1,3
2016/17,Aston Villa,Daniel Garcia,Forward,13,858,12,11
2016/17,Aston Villa,Liam Taylor,Defender,38,2508,18,8
2016/17,Aston Villa,Alex Lewis,Midfielder,18,1566,25,8
2016/17,Aston Villa,Oscar Young,Defender,5,380,3,5
2016/17,Aston Villa,Daniel Harris,Forward,12,792,15,8
2016/17,Bournemouth,James Taylor,Forward,33,2442,18,3
2016/17,Bournemouth,Oscar Anderson,Defender,5,465,19,8
2016/17,Bournemouth,Noah Johnson,Defender,12,996,0,7
2016/17,Bournemouth,Ethan Young,Forward,11,935,21,7
2016/17,Bournemouth,Daniel King,Midfielder,8,528,0,4
2016/17,Bournemouth,Daniel Scott,Midfielder,37,2775,10,10
2016/17,Bournemouth,John Anderson,Midfielder,34,2550,8,0
2016/17,Bournemouth,James Johnson,Midfielder,12,1032,15,6
2016/17,Bournemouth,Tom Taylor,Forward,29,2262,19,12
2016/17,Bournemouth,Harry Smith,Midfielder,29,2378,5,3
2016/17,Bournemouth,Chris Lewis,Defender,34,2754,18,12
2016/17,Bournemouth,James Taylor,Forward,34,2822,7,0
2016/17,Bournemouth,Mason Anderson,Defender,6,540,16,7
2016/17,Bournemouth,Liam Brown,Defender,29,2465,20,4
2016/17,Bournemouth,John Martin,Defender,35,2310,23,15
2016/17,Bournemouth,Liam Smith,Defender,10,860,5,9
2016/17,Bournemouth,Tom Garcia,Defender,29,2407,4,6
2016/17,Bournemouth,Chris Anderson,Midfielder,14,882,8,13
2016/17,Brentford,Tom Lewis,Forward,36,2628,11,11
2016/17,Brentford,Liam Harris,Defender,23,1702,6,14
2016/17,Brentford,Aaron White,Forward,18,1548,4,2
2016/17,Brentford,Oscar Walker,Forward,11,1001,17,11
2016/17,Brentford,John Allen,Defender,20,1680,18,14
2016/17,Brentford,Noah Hall,Midfielder,24,1896,5,13
2016/17,Brentford,Tom Hall,Defender,5,430,22,13
2016/17,Brentford,Mason Lewis,Forward,6,450,11,7
2016/17,Brentford,Chris Brown,Defender,17,1190,19,0
2016/17,Brentford,Aaron White,Forward,10,860,7,15
2016/17,Brentford,Daniel Anderson,Forward,20,1320,20,1
2016/17,Brentford,Liam Walker,Forward,34,2482,8,6
2016/17,Brentford,Luke Hall,Forward,27,2052,7,5
2016/17,Brentford,Michael Young,Defender,17,1564,13,0
2016/17,Brentford,Harry Anderson,Midfielder,8,656,23,4
2016/17,Brentford,Alex Johnson,Defender,13,1118,21,10
2016/17,Brentford,James Allen,Forward,30,2490,13,10
2016/17,Brentford,Ryan Harris,Midfielder,29,2378,23,8
2016/17,Brighton,Ryan Scott,Forward,17,1139,1,6
2016/17,Brighton,Luke Garcia,Defender,11,1023,12,7
2016/17,Brighton,Mason Harris,Defender,18,1098,15,10
2016/17,Brighton,Luke Thompson,Midfielder,28,1932,7,3
2016/17,Brighton,David Anderson,Midfielder,35,2555,15,5
2016/17,Brighton,Chris King,Forward,16,1312,18,15
2016/17,Brighton,Mason Anderson,Midfielder,6,546,21,7
2016/17,Brighton,Ben Harris,Midfielder,6,522,20,10
2016/17,Brighton,James Taylor,Forward,14,1176,25,13
2016/17,Brighton,David Brown,Forward,15,1020,19,14
2016/17,Brighton,David Young,Defender,16,1056,19,3
2016/17,Brighton,Ryan Anderson,Defender,22,1628,7,13
2016/17,Brighton,Michael Jackson,Midfielder,35,2100,8,7
2016/17,Brighton,Ben Hall,Forward,20,1780,22,10
2016/17,Brighton,Ethan Brown,Forward,30,1890,16,15
2016/17,Brighton,Tom Taylor,Defender,34,3162,14,14
2016/17,Brighton,Alex Young,Midfielder,37,3034,6,14
2016/17,Brighton,Ryan Smith,Forward,8,480,22,8
2016/17,Burnley,Luke Allen,Midfielder,30,2040,8,6
2016/17,Burnley,Harry Lewis,Midfielder,15,1335,1,13
2016/17,Burnley,Noah Garcia,Midfielder,14,1246,12,0
2016/17,Burnley,Harry Scott,Midfielder,28,1988,6,6
2016/17,Burnley,James White,Midfielder,15,1320,25,10
2016/17,Burnley,Jack Jackson,Forward,18,1512,14,5
2016/17,Burnley,Aaron Martin,Forward,20,1220,18,1
2016/17,Burnley,Michael Smith,Midfielder,21,1953,23,1
2016/17,Burnley,Aaron Young,Defender,21,1827,19,6
2016/17,Burnley,Noah King,Defender,29,2581,6,6
2016/17,Burnley,Chris Johnson,Midfielder,27,2268,0,1
2016/17,Burnley,David Thomas,Midfielder,35,3080,6,1
2016/17,Burnley,Ryan Brown,Forward,23,2093,10,13
2016/17,Burnley,Jack Johnson,Midfielder,13,936,3,4
2016/17,Burnley,Tom Jackson,Defender,27,2052,19,3
2016/17,Burnley,John Walker,Defender,22,1628,13,7
2016/17,Burnley,Ben Scott,Forward,16,1008,11,7
2016/17,Burnley,Jack Young,Defender,25,1975,19,13
2016/17,Chelsea,Alex Martin,Midfielder,33,2277,3,9
2016/17,Chelsea,Aaron King,Midfielder,27,1620,5,14
2016/17,Chelsea,Leo White,Forward,16,1088,16,3
2016/17,Chelsea,Ethan Brown,Defender,13,923,13,0
2016/17,Chelsea,Tom Anderson,Forward,35,3185,0,10
2016/17,Chelsea,Michael Harris,Defender,30,2580,10,9
2016/17,Chelsea,John Thompson,Midfielder,20,1680,18,4
2016/17,Chelsea,Leo Hall,Midfielder,14,1022,14,12
2016/17,Chelsea,Michael Walker,Midfielder,15,1185,21,9
2016/17,Chelsea,Leo Smith,Midfielder,16,1344,15,4
2016/17,Chelsea,Oscar Harris,Midfielder,11,814,17,0
2016/17,Chelsea,John Walker,Defender,8,560,15,3
2016/17,Chelsea,John Taylor,Midfielder,32,1952,8,6
2016/17,Chelsea,Jack King,Midfielder,13,1131,14,13
2016/17,Chelsea,Leo Taylor,Midfielder,26,2288,17,7
2016/17,Chelsea,Luke Taylor,Forward,37,2479,19,2
2016/17,Chelsea,Michael Martin,Forward,20,1580,8,14
2016/17,Chelsea,Ben Taylor,Forward,27,2376,11,8
2016/17,Crystal Palace,Harry Clark,Defender,24,1752,10,13
2016/17,Crystal Palace,John White,Midfielder,13,1170,15,13
2016/17,Crystal Palace,Chris Taylor,Forward,21,1848,13,2
2016/17,Crystal Palace,Oscar White,Defender,13,1131,0,0
2016/17,Crystal Palace,Alex Walker,Forward,35,3045,24,0
2016/17,Crystal Palace,Luke Allen,Midfielder,24,1584,21,2
2016/17,Crystal Palace,Alex Allen,Defender,16,1072,2,13
2016/17,Crystal Palace,James Smith,Defender,7,476,5,1
2016/17,Crystal Palace,Leo Martin,Midfielder,27,1728,25,15
2016/17,Crystal Palace,James Anderson,Defender,8,568,12,15
2016/17,Crystal Palace,David Lewis,Forward,34,2924,19,7
2016/17,Crystal Palace,Chris Lewis,Midfielder,6,390,8,15
2016/17,Crystal Palace,Michael Johnson,Defender,19,1235,13,8
2016/17,Crystal Palace,Mason Brown,Midfielder,15,1110,21,12
2016/17,Crystal Palace,Luke Smith,Forward,18,1530,12,11
2016/17,Crystal Palace,Luke Johnson,Defender,9,630,18,10
2016/17,Crystal Palace,Ben Thomas,Defender,36,2844,12,11
2016/17,Crystal Palace,Noah Taylor,Defender,11,990,20,7
2016/17,Everton,Aaron Clark,Forward,30,1830,6,0
